Country,ShortForm
Norway,NOR
United States,USA
Germany,GER
Canada,CAN
Austria,AUT
Sweden,SWE
Switzerland,SUI
Netherlands,NED
Russia,RUS
Italy,ITA
France,FRA
Finland,FIN
South Korea,KOR
China,CHN
Japan,JPN
United Kingdom,GBR
Czechia,CZE
Australia,AUS
Belarus,BLR
Poland,POL
Slovenia,SLO
Croatia,CRO
Slovakia,SVK
Estonia,EST
Ukraine,UKR
Hungary,HUN
Liechtenstein,LIE
Belgium,BEL
New Zealand,NZL
Kazakhstan,KAZ
Spain,ESP
Latvia,LAT
Bulgaria,BUL
Uzbekistan,UZB
Brazil,BRA
Luxembourg,LUX
Denmark,DEN
Georgia,GEO
Romania,ROU
