,Country,Pop,GDP,gdpPerCapita,ShortForm
0,Norway,5652989.0,517100000000.0,91473.73,NOR
1,United States,349035494.0,30620000000000.0,87727.47,USA
2,Germany,83644258.0,5010000000000.0,59896.52,GER
3,Canada,40467728.0,2280000000000.0,56341.19,CAN
4,Austria,9107266.0,566460000000.0,62198.69,AUT
5,Sweden,10701047.0,662320000000.0,61893.01,SWE
6,Switzerland,9007798.0,1000000000000.0,111014.92,SUI
7,Netherlands,18448775.0,1320000000000.0,71549.47,NED
8,Russia,143394458.0,2540000000000.0,17713.38,RUS
9,Italy,58926166.0,2540000000000.0,43104.79,ITA
10,France,66746401.0,3360000000000.0,50339.79,FRA
11,Finland,5621739.0,314720000000.0,55982.68,FIN
12,South Korea,51600388.0,1860000000000.0,36046.24,KOR
13,China,1412914089.0,19400000000000.0,13730.49,CHN
14,Japan,122427731.0,4280000000000.0,34959.4,JPN
15,Great Britain,,,,GBR
16,Czechia,,,,CZE
17,Australia,27227096.0,1830000000000.0,67212.46,AUS
18,Belarus,8937018.0,85740000000.0,9593.8,BLR
19,Poland,37843188.0,1040000000000.0,27481.83,POL
20,Slovenia,2114573.0,79220000000.0,37463.83,SLO
21,Croatia,3822345.0,103900000000.0,27182.27,CRO
22,Slovakia,5451342.0,154590000000.0,28358.15,SVK
23,Estonia,1331062.0,46760000000.0,35129.84,EST
24,Ukraine,39535849.0,209710000000.0,5304.3,UKR
25,Czechoslovakia,,,,TCH
26,Hungary,9585818.0,247760000000.0,25846.52,HUN
27,Liechtenstein,40368.0,9420000000.0,233353.15,LIE
28,Belgium,11774642.0,716980000000.0,60891.87,BEL
29,New Zealand,5287479.0,262910000000.0,49723.13,NZL
30,Kazakhstan,21083626.0,300050000000.0,14231.42,KAZ
31,Spain,47850793.0,1890000000000.0,39497.78,ESP
32,Latvia,1835935.0,47880000000.0,26079.35,LAT
33,Bulgaria,6667659.0,127920000000.0,19185.14,BUL
34,Uzbekistan,37724223.0,137480000000.0,3644.34,UZB
35,Brazil,213562666.0,2260000000000.0,10582.37,BRA
36,Yugoslavia,,,,YUG
37,Luxembourg,687448.0,100640000000.0,146396.53,LUX
38,Denmark,6023520.0,459610000000.0,76302.56,DEN
39,Georgia,3804642.0,37400000000.0,9830.1,GEO
40,Romania,18800605.0,422510000000.0,22473.21,ROU
