athleteName,athleteURL,country
Didier Défago,https://www.olympedia.org/athletes/101056,SUI
Carlo Janka,https://www.olympedia.org/athletes/118338,SUI
Giuliano Razzoli,https://www.olympedia.org/athletes/118370,ITA
Silvan Zurbriggen,https://www.olympedia.org/athletes/110094,SUI
Andrea Fischbacher,https://www.olympedia.org/athletes/110752,AUT
Elisabeth Görgl,https://www.olympedia.org/athletes/110348,AUT
Šárka Záhrobská,https://www.olympedia.org/athletes/110670,CZE
Anja Pärson,https://www.olympedia.org/athletes/101719,SWE
Björn Ferry,https://www.olympedia.org/athletes/101201,SWE
Vincent Jay,https://www.olympedia.org/athletes/118601,FRA
Pavol Hurajt,https://www.olympedia.org/athletes/109639,SVK
Christoph Sumann,https://www.olympedia.org/athletes/101195,AUT
Siarhei Novikau,https://www.olympedia.org/athletes/109615,BLRNOR
Marie Dorin,https://www.olympedia.org/athletes/118550,FRA
Marie-Laure Brunet,https://www.olympedia.org/athletes/118551,FRA
Magdalena Neuner,https://www.olympedia.org/athletes/118546,GER
Olga Zaytseva,https://www.olympedia.org/athletes/101172,RUS
Simone Hauswald,https://www.olympedia.org/athletes/118584,GER
Yelena Khrustalyova,https://www.olympedia.org/athletes/101385,KAZ
Nikita Kryukov,https://www.olympedia.org/athletes/118820,RUS
Aleksandr Panzhinsky,https://www.olympedia.org/athletes/118720,RUS
Pietro Piller Cottrer,https://www.olympedia.org/athletes/100096,ITA
Lukáš Bauer,https://www.olympedia.org/athletes/100078,CZE
Petter Northug,https://www.olympedia.org/athletes/118832,NOR
Axel Teichmann,https://www.olympedia.org/athletes/101020,GER
Tobias Angerer,https://www.olympedia.org/athletes/101024,GER
Petra Majdič,https://www.olympedia.org/athletes/101300,SLO
Kristina Šmigun-Vähi,https://www.olympedia.org/athletes/82400,EST
Aino-Kaisa Saarinen,https://www.olympedia.org/athletes/110053,FIN
Anna Haag,https://www.olympedia.org/athletes/118732,SWE
Evan Lysacek,https://www.olympedia.org/athletes/110142,USA
Yevgeny Plyushchenko,https://www.olympedia.org/athletes/101967,RUS
Daisuke Takahashi,https://www.olympedia.org/athletes/110128,JPN
Mao Asada,https://www.olympedia.org/athletes/119096,JPN
Joannie Rochette,https://www.olympedia.org/athletes/110855,CAN
Dale Begg-Smith,https://www.olympedia.org/athletes/110337,AUS
Bryon Wilson,https://www.olympedia.org/athletes/118953,USA
Aliaksei Hryshyn,https://www.olympedia.org/athletes/99801,BLR
Jeret Peterson,https://www.olympedia.org/athletes/101591,USA
Liu Zhongqing,https://www.olympedia.org/athletes/110843,CHN
Mike Schmid,https://www.olympedia.org/athletes/119000,SUI
Andreas Matt,https://www.olympedia.org/athletes/118939,AUT
Audun Grønvold,https://www.olympedia.org/athletes/118949,NOR
Jennifer Heil,https://www.olympedia.org/athletes/101984,CAN
Shannon Bahrke,https://www.olympedia.org/athletes/101983,USA
Li Nina,https://www.olympedia.org/athletes/101579,CHN
Guo Xinxin,https://www.olympedia.org/athletes/101587,CHN
Ashleigh McIvor,https://www.olympedia.org/athletes/118947,CAN
Hedda Berntsen,https://www.olympedia.org/athletes/101738,NOR
Marion Josserand,https://www.olympedia.org/athletes/118994,FRA
David Möller,https://www.olympedia.org/athletes/109685,GER
Nina Reithmayer,https://www.olympedia.org/athletes/109948,AUT
Jason Lamy-Chappuis,https://www.olympedia.org/athletes/109612,FRA
Alessandro Pittin,https://www.olympedia.org/athletes/109591,ITA
Bill Demong,https://www.olympedia.org/athletes/99983,USA
Johnny Spillane,https://www.olympedia.org/athletes/101094,USA
Berni Gruber,https://www.olympedia.org/athletes/119466,AUT
Seong Si-Baek,https://www.olympedia.org/athletes/119805,KOR
François-Louis Tremblay,https://www.olympedia.org/athletes/101772,CAN
